Philequity Fund,,Philequity PSE Index Fund,,Philequity Dividend Yield Fund,,Philequity Peso Bond Fund,,Philequity Dollar Income Fund,
Date, NAVPS ,Date, NAVPS ,Date, NAVPS ,Date, NAVPS ,Date, NAVPS 
7-Apr-94, 1.0174 ,,,,,,,,
2-May-94, 1.0554 ,,,,,,,,
3-May-94, 1.0589 ,,,,,,,,
4-May-94, 1.0653 ,,,,,,,,
5-May-94, 1.0570 ,,,,,,,,
6-May-94, 1.0567 ,,,,,,,,
10-May-94, 1.0512 ,,,,,,,,
11-May-94, 1.0504 ,,,,,,,,
12-May-94, 1.0480 ,,,,,,,,
13-May-94, 1.0443 ,,,,,,,,
16-May-94, 1.0372 ,,,,,,,,
17-May-94, 1.0394 ,,,,,,,,
18-May-94, 1.0339 ,,,,,,,,
19-May-94, 1.0286 ,,,,,,,,
20-May-94, 1.0363 ,,,,,,,,
23-May-94, 1.0433 ,,,,,,,,
24-May-94, 1.0410 ,,,,,,,,
25-May-94, 1.0386 ,,,,,,,,
26-May-94, 1.0404 ,,,,,,,,
27-May-94, 1.0464 ,,,,,,,,
30-May-94, 1.0565 ,,,,,,,,
31-May-94, 1.0658 ,,,,,,,,
1-Jun-94, 1.0719 ,,,,,,,,
2-Jun-94, 1.0680 ,,,,,,,,
3-Jun-94, 1.0649 ,,,,,,,,
6-Jun-94, 1.0585 ,,,,,,,,
7-Jun-94, 1.0529 ,,,,,,,,
8-Jun-94, 1.0597 ,,,,,,,,
9-Jun-94, 1.0543 ,,,,,,,,
10-Jun-94, 1.0548 ,,,,,,,,
13-Jun-94, 1.0573 ,,,,,,,,
14-Jun-94, 1.0548 ,,,,,,,,
15-Jun-94, 1.0535 ,,,,,,,,
16-Jun-94, 1.0530 ,,,,,,,,
17-Jun-94, 1.0507 ,,,,,,,,
20-Jun-94, 1.0495 ,,,,,,,,
21-Jun-94, 1.0429 ,,,,,,,,
22-Jun-94, 1.0426 ,,,,,,,,
23-Jun-94, 1.0438 ,,,,,,,,
24-Jun-94, 1.0384 ,,,,,,,,
27-Jun-94, 1.0287 ,,,,,,,,
28-Jun-94, 1.0256 ,,,,,,,,
29-Jun-94, 1.0250 ,,,,,,,,
30-Jun-94, 1.0312 ,,,,,,,,
1-Jul-94, 1.0211 ,,,,,,,,
4-Jul-94, 1.0174 ,,,,,,,,
5-Jul-94, 1.0105 ,,,,,,,,
6-Jul-94, 1.0175 ,,,,,,,,
7-Jul-94, 1.0227 ,,,,,,,,
8-Jul-94, 1.0153 ,,,,,,,,
11-Jul-94, 1.0109 ,,,,,,,,
12-Jul-94, 1.0128 ,,,,,,,,
13-Jul-94, 1.0126 ,,,,,,,,
14-Jul-94, 1.0287 ,,,,,,,,
15-Jul-94, 1.0234 ,,,,,,,,
18-Jul-94, 1.0290 ,,,,,,,,
19-Jul-94, 1.0293 ,,,,,,,,
20-Jul-94, 1.0311 ,,,,,,,,
21-Jul-94, 1.0289 ,,,,,,,,
22-Jul-94, 1.0406 ,,,,,,,,
25-Jul-94, 1.0541 ,,,,,,,,
26-Jul-94, 1.0478 ,,,,,,,,
27-Jul-94, 1.0543 ,,,,,,,,
28-Jul-94, 1.0560 ,,,,,,,,
29-Jul-94, 1.0593 ,,,,,,,,
1-Aug-94, 1.0653 ,,,,,,,,
2-Aug-94, 1.0600 ,,,,,,,,
3-Aug-94, 1.0633 ,,,,,,,,
4-Aug-94, 1.0631 ,,,,,,,,
5-Aug-94, 1.0636 ,,,,,,,,
8-Aug-94, 1.0633 ,,,,,,,,
9-Aug-94, 1.0628 ,,,,,,,,
10-Aug-94, 1.0776 ,,,,,,,,
11-Aug-94, 1.0845 ,,,,,,,,
12-Aug-94, 1.0966 ,,,,,,,,
15-Aug-94, 1.0966 ,,,,,,,,
16-Aug-94, 1.0959 ,,,,,,,,
17-Aug-94, 1.1046 ,,,,,,,,
18-Aug-94, 1.0991 ,,,,,,,,
19-Aug-94, 1.1024 ,,,,,,,,
22-Aug-94, 1.1084 ,,,,,,,,
23-Aug-94, 1.1192 ,,,,,,,,
24-Aug-94, 1.1136 ,,,,,,,,
25-Aug-94, 1.1103 ,,,,,,,,
26-Aug-94, 1.1076 ,,,,,,,,
29-Aug-94, 1.1090 ,,,,,,,,
30-Aug-94, 1.1080 ,,,,,,,,
31-Aug-94, 1.1109 ,,,,,,,,
1-Sep-94, 1.1024 ,,,,,,,,
2-Sep-94, 1.1056 ,,,,,,,,
5-Sep-94, 1.1101 ,,,,,,,,
6-Sep-94, 1.1080 ,,,,,,,,
7-Sep-94, 1.0971 ,,,,,,,,
8-Sep-94, 1.0937 ,,,,,,,,
9-Sep-94, 1.1070 ,,,,,,,,
12-Sep-94, 1.0972 ,,,,,,,,
13-Sep-94, 1.1018 ,,,,,,,,
14-Sep-94, 1.1060 ,,,,,,,,
15-Sep-94, 1.1005 ,,,,,,,,
16-Sep-94, 1.0998 ,,,,,,,,
19-Sep-94, 1.0986 ,,,,,,,,
20-Sep-94, 1.0911 ,,,,,,,,
21-Sep-94, 1.0952 ,,,,,,,,
22-Sep-94, 1.0982 ,,,,,,,,
23-Sep-94, 1.1042 ,,,,,,,,
26-Sep-94, 1.1044 ,,,,,,,,
27-Sep-94, 1.1008 ,,,,,,,,
28-Sep-94, 1.0966 ,,,,,,,,
29-Sep-94, 1.0960 ,,,,,,,,
30-Sep-94, 1.0925 ,,,,,,,,
3-Oct-94, 1.0922 ,,,,,,,,
4-Oct-94, 1.1014 ,,,,,,,,
5-Oct-94, 1.1077 ,,,,,,,,
6-Oct-94, 1.1090 ,,,,,,,,
7-Oct-94, 1.1128 ,,,,,,,,
10-Oct-94, 1.1053 ,,,,,,,,
11-Oct-94, 1.0994 ,,,,,,,,
12-Oct-94, 1.1089 ,,,,,,,,
13-Oct-94, 1.1206 ,,,,,,,,
14-Oct-94, 1.1287 ,,,,,,,,
17-Oct-94, 1.1400 ,,,,,,,,
18-Oct-94, 1.1464 ,,,,,,,,
19-Oct-94, 1.1446 ,,,,,,,,
20-Oct-94, 1.1444 ,,,,,,,,
21-Oct-94, 1.1436 ,,,,,,,,
24-Oct-94, 1.1477 ,,,,,,,,
25-Oct-94, 1.1382 ,,,,,,,,
26-Oct-94, 1.1406 ,,,,,,,,
27-Oct-94, 1.1384 ,,,,,,,,
28-Oct-94, 1.1457 ,,,,,,,,
2-Nov-94, 1.1548 ,,,,,,,,
3-Nov-94, 1.1440 ,,,,,,,,
4-Nov-94, 1.1550 ,,,,,,,,
7-Nov-94, 1.1481 ,,,,,,,,
8-Nov-94, 1.1373 ,,,,,,,,
9-Nov-94, 1.1413 ,,,,,,,,
10-Nov-94, 1.1203 ,,,,,,,,
11-Nov-94, 1.1135 ,,,,,,,,
14-Nov-94, 1.1097 ,,,,,,,,
15-Nov-94, 1.1133 ,,,,,,,,
16-Nov-94, 1.1063 ,,,,,,,,
17-Nov-94, 1.1107 ,,,,,,,,
18-Nov-94, 1.1145 ,,,,,,,,
21-Nov-94, 1.1112 ,,,,,,,,
22-Nov-94, 1.0978 ,,,,,,,,
23-Nov-94, 1.0712 ,,,,,,,,
24-Nov-94, 1.0709 ,,,,,,,,
25-Nov-94, 1.0680 ,,,,,,,,
28-Nov-94, 1.0604 ,,,,,,,,
29-Nov-94, 1.0604 ,,,,,,,,
1-Dec-94, 1.0585 ,,,,,,,,
4-Dec-94, 1.0508 ,,,,,,,,
5-Dec-94, 1.0544 ,,,,,,,,
6-Dec-94, 1.0586 ,,,,,,,,
7-Dec-94, 1.0589 ,,,,,,,,
8-Dec-94, 1.0600 ,,,,,,,,
9-Dec-94, 1.0541 ,,,,,,,,
12-Dec-94, 1.0524 ,,,,,,,,
13-Dec-94, 1.0978 ,,,,,,,,
14-Dec-94, 1.0971 ,,,,,,,,
15-Dec-94, 1.1019 ,,,,,,,,
16-Dec-94, 1.1032 ,,,,,,,,
19-Dec-94, 1.1036 ,,,,,,,,
20-Dec-94, 1.1021 ,,,,,,,,
21-Dec-94, 1.1040 ,,,,,,,,
