Date, NAVPS 
23-Jan-14,
24-Jan-14,
27-Jan-14,
28-Jan-14,
29-Jan-14,
30-Jan-14,
3-Feb-14,
4-Feb-14,
5-Feb-14,
6-Feb-14,
7-Feb-14, 0.9630 
10-Feb-14, 0.9676 
11-Feb-14, 0.9747 
12-Feb-14, 0.9838 
13-Feb-14, 0.9825 
14-Feb-14, 0.9839 
17-Feb-14, 1.0040 
18-Feb-14, 1.0052 
19-Feb-14, 1.0143 
20-Feb-14, 1.0218 
21-Feb-14, 1.0091 
24-Feb-14, 1.0054 
25-Feb-14, 1.0125 
26-Feb-14, 1.0144 
27-Feb-14, 1.0190 
28-Feb-14, 1.0279 
3-Mar-14, 1.0260 
4-Mar-14, 1.0186 
5-Mar-14, 1.0299 
6-Mar-14, 1.0469 
7-Mar-14, 1.0410 
10-Mar-14, 1.0390 
11-Mar-14, 1.0453 
12-Mar-14, 1.0318 
13-Mar-14, 1.0179 
14-Mar-14, 1.0030 
17-Mar-14, 1.0161 
18-Mar-14, 1.0322 
19-Mar-14, 1.0369 
20-Mar-14, 1.0374 
21-Mar-14, 1.0267 
24-Mar-14, 1.0324 
25-Mar-14, 1.0193 
26-Mar-14, 1.0193 
27-Mar-14, 1.0147 
28-Mar-14, 1.0212 
31-Mar-14, 1.0324 
1-Apr-14, 1.0474 
2-Apr-14, 1.0594 
3-Apr-14, 1.0595 
4-Apr-14, 1.0604 
7-Apr-14, 1.0611 
8-Apr-14, 1.0585 
10-Apr-14, 1.0694 
11-Apr-14, 1.0656 
14-Apr-14, 1.0678 
15-Apr-14, 1.0720 
16-Apr-14, 1.0802 
21-Apr-14, 1.0956 
22-Apr-14, 1.0998 
23-Apr-14, 1.0966 
24-Apr-14, 1.0888 
25-Apr-14, 1.0893 
28-Apr-14, 1.0812 
29-Apr-14, 1.0842 
30-Apr-14, 1.0881 
2-May-14, 1.0998 
5-May-14, 1.0982 
6-May-14, 1.1063 
7-May-14, 1.1130 
8-May-14, 1.1210 
9-May-14, 1.1267 
12-May-14, 1.1233 
13-May-14, 1.1351 
14-May-14, 1.1356 
15-May-14, 1.1252 
16-May-14, 1.1184 
19-May-14, 1.1283 
20-May-14, 1.1324 
21-May-14, 1.1134 
22-May-14, 1.1205 
23-May-14, 1.1170 
26-May-14, 1.1184 
27-May-14, 1.1146 
28-May-14, 1.1213 
29-May-14, 1.1086 
30-May-14, 1.1005 
2-Jun-14, 1.1132 
3-Jun-14, 1.1243 
4-Jun-14, 1.1290 
5-Jun-14, 1.1269 
6-Jun-14, 1.1319 
9-Jun-14, 1.1297 
10-Jun-14, 1.1248 
11-Jun-14, 1.1243 
13-Jun-14, 1.1156 
16-Jun-14, 1.1144 
17-Jun-14, 1.1092 
18-Jun-14, 1.1087 
19-Jun-14, 1.1106 
20-Jun-14, 1.1125 
23-Jun-14, 1.1233 
24-Jun-14, 1.1217 
25-Jun-14, 1.1297 
26-Jun-14, 1.1428 
27-Jun-14, 1.1364 
30-Jun-14, 1.1402 
1-Jul-14, 1.1381 
2-Jul-14, 1.1343 
3-Jul-14, 1.1417 
4-Jul-14, 1.1522 
7-Jul-14, 1.1582 
8-Jul-14, 1.1518 
9-Jul-14, 1.1469 
10-Jul-14, 1.1507 
11-Jul-14, 1.1462 
14-Jul-14, 1.1424 
15-Jul-14, 1.1481 
17-Jul-14, 1.1554 
18-Jul-14, 1.1539 
21-Jul-14, 1.1605 
22-Jul-14, 1.1515 
23-Jul-14, 1.1567 
24-Jul-14, 1.1572 
25-Jul-14, 1.1625 
28-Jul-14, 1.1591 
30-Jul-14, 1.1633 
31-Jul-14, 1.1582 
1-Aug-14, 1.1650 
4-Aug-14, 1.1795 
5-Aug-14, 1.1791 
6-Aug-14, 1.1787 
7-Aug-14, 1.1879 
8-Aug-14, 1.1783 
11-Aug-14, 1.1887 
12-Aug-14, 1.1932 
13-Aug-14, 1.1965 
14-Aug-14, 1.2038 
15-Aug-14, 1.1992 
18-Aug-14, 1.2037 
19-Aug-14, 1.2118 
20-Aug-14, 1.2154 
22-Aug-14, 1.2213 
26-Aug-14, 1.2247 
27-Aug-14, 1.2254 
28-Aug-14, 1.2037 
29-Aug-14, 1.2075 
1-Sep-14, 1.2263 
2-Sep-14, 1.2180 
3-Sep-14, 1.2334 
4-Sep-14, 1.2407 
5-Sep-14, 1.2530 
8-Sep-14, 1.2572 
9-Sep-14, 1.2483 
10-Sep-14, 1.2348 
11-Sep-14, 1.2378 
12-Sep-14, 1.2451 
15-Sep-14, 1.2371 
16-Sep-14, 1.2439 
17-Sep-14, 1.2500 
18-Sep-14, 1.2581 
22-Sep-14, 1.2555 
23-Sep-14, 1.2529 
24-Sep-14, 1.2607 
25-Sep-14, 1.2546 
26-Sep-14, 1.2484 
29-Sep-14, 1.2504 
30-Sep-14, 1.2498 
1-Oct-14, 1.2445 
2-Oct-14, 1.2271 
3-Oct-14, 1.2400 
7-Oct-14, 1.2429 
8-Oct-14, 1.2357 
9-Oct-14, 1.2382 
10-Oct-14, 1.2273 
13-Oct-14, 1.1956 
14-Oct-14, 1.1630 
15-Oct-14, 1.2066 
16-Oct-14, 1.2063 
17-Oct-14, 1.2039 
20-Oct-14, 1.2121 
21-Oct-14, 1.2181 
22-Oct-14, 1.2296 
23-Oct-14, 1.2246 
24-Oct-14, 1.2233 
27-Oct-14, 1.2197 
28-Oct-14, 1.2179 
29-Oct-14, 1.2259 
30-Oct-14, 1.2326 
31-Oct-14, 1.2403 
3-Nov-14, 1.2527 
4-Nov-14, 1.2432 
5-Nov-14, 1.2462 
6-Nov-14, 1.2535 
7-Nov-14, 1.2445 
10-Nov-14, 1.2380 
11-Nov-14, 1.2306 
12-Nov-14, 1.2306 
13-Nov-14, 1.2301 
14-Nov-14, 1.2346 
17-Nov-14, 1.2397 
18-Nov-14, 1.2463 
19-Nov-14, 1.2492 
20-Nov-14, 1.2480 
21-Nov-14, 1.2521 
24-Nov-14, 1.2615 
25-Nov-14, 1.2606 
26-Nov-14, 1.2692 
27-Nov-14, 1.2538 
28-Nov-14, 1.2616 
1-Dec-14, 1.2613 
2-Dec-14, 1.2666 
3-Dec-14, 1.2664 
4-Dec-14, 1.2541 
5-Dec-14, 1.2447 
9-Dec-14, 1.2361 
10-Dec-14, 1.2355 
11-Dec-14, 1.2162 
12-Dec-14, 1.2438 
15-Dec-14, 1.2547 
16-Dec-14, 1.2457 
17-Dec-14, 1.2208 
18-Dec-14, 1.2276 
19-Dec-14, 1.2399 
22-Dec-14, 1.2477 
23-Dec-14, 1.2500 
29-Dec-14, 1.2568 
5-Jan-15, 1.2583 
6-Jan-15, 1.2590 
7-Jan-15, 1.2641 
8-Jan-15, 1.2674 
9-Jan-15, 1.2715 
12-Jan-15, 1.2675 
13-Jan-15, 1.2764 
14-Jan-15, 1.2907 
19-Jan-15, 1.2858 
20-Jan-15, 1.2796 
21-Jan-15, 1.2766 
22-Jan-15, 1.2709 
23-Jan-15, 1.2943 
26-Jan-15, 1.2956 
27-Jan-15, 1.3094 
28-Jan-15, 1.3125 
29-Jan-15, 1.3067 
30-Jan-15, 1.3173 
2-Feb-15, 1.3035 
3-Feb-15, 1.3005 
4-Feb-15, 1.3150 
5-Feb-15, 1.3076 
6-Feb-15, 1.3178 
9-Feb-15, 1.3281 
10-Feb-15, 1.3192 
11-Feb-15, 1.3092 
12-Feb-15, 1.3140 
13-Feb-15, 1.3281 
16-Feb-15, 1.3269 
17-Feb-15, 1.3292 
18-Feb-15, 1.3284 
20-Feb-15, 1.3269 
23-Feb-15, 1.3282 
24-Feb-15, 1.3354 
25-Feb-15, 1.3367 
26-Feb-15, 1.3240 
27-Feb-15, 1.3215 
2-Mar-15, 1.3290 
3-Mar-15, 1.3286 
4-Mar-15, 1.3403 
5-Mar-15, 1.3376 
6-Mar-15, 1.3464 
9-Mar-15, 1.3394 
10-Mar-15, 1.3408 
11-Mar-15, 1.3280 
12-Mar-15, 1.3376 
13-Mar-15, 1.3378 
16-Mar-15, 1.3208 
17-Mar-15, 1.3316 
18-Mar-15, 1.3270 
19-Mar-15, 1.3339 
20-Mar-15, 1.3383 
23-Mar-15, 1.3407 
24-Mar-15, 1.3370 
25-Mar-15, 1.3373 
26-Mar-15, 1.3438 
27-Mar-15, 1.3446 
30-Mar-15, 1.3454 
31-Mar-15, 1.3463 
1-Apr-15, 1.3520 
6-Apr-15, 1.3597 
7-Apr-15, 1.3629 
8-Apr-15, 1.3555 
10-Apr-15, 1.3632 
13-Apr-15, 1.3500 
14-Apr-15, 1.3456 
15-Apr-15, 1.3196 
16-Apr-15, 1.3268 
17-Apr-15, 1.3256 
20-Apr-15, 1.3124 
21-Apr-15, 1.3115 
22-Apr-15, 1.3105 
23-Apr-15, 1.3214 
24-Apr-15, 1.3310 
27-Apr-15, 1.3332 
28-Apr-15, 1.3257 
29-Apr-15, 1.3165 
30-Apr-15, 1.3024 
4-May-15, 1.3153 
5-May-15, 1.3324 
6-May-15, 1.3324 
7-May-15, 1.3251 
8-May-15, 1.3133 
11-May-15, 1.3156 
12-May-15, 1.3191 
13-May-15, 1.3242 
14-May-15, 1.3287 
15-May-15, 1.3355 
18-May-15, 1.3363 
19-May-15, 1.3280 
20-May-15, 1.3333 
21-May-15, 1.3231 
22-May-15, 1.3181 
25-May-15, 1.3074 
26-May-15, 1.2977 
27-May-15, 1.2752 
28-May-15, 1.2601 
29-May-15, 1.2746 
1-Jun-15, 1.2878 
2-Jun-15, 1.2749 
3-Jun-15, 1.2756 
4-Jun-15, 1.2790 
5-Jun-15, 1.2750 
8-Jun-15, 1.2702 
